44.974673,-93.232221
44.975388,-93.233511
44.974519,-93.233541
44.973952,-93.233271
44.975448,-93.231472
44.975171,-93.232180
44.975921,-93.232411
44.976182,-93.231493
44.976272,-93.233103
44.977826,-93.233391
44.976822,-93.231121
44.976894,-93.234444
44.975442,-93.234546
44.974494,-93.234272
44.974514,-93.234741
44.974888,-93.235341
44.973947,-93.234444
44.975900,-93.234626
44.976511,-93.235436
44.975293,-93.236219
44.974530,-93.236268
44.973926,-93.236278
44.974109,-93.237201
44.975592,-93.237258
44.976814,-93.237065
44.973110,-93.237008
44.972962,-93.235398
44.977102,-93.232280
44.972811,-93.234245
44.973183,-93.233505
44.973054,-93.232464
44.972978,-93.231829
44.972276,-93.229565
44.970820,-93.228136
44.974245,-93.231123
44.973675,-93.231097
44.975793,-93.229878
44.973125,-93.239340
44.971888,-93.242247
44.970383,-93.244614
